293.9,-232.41099999999997,20
283.603,-239.78400000000002,20
263.941,-252.044,20
244.63099999999997,-259.909,20
230.727,-268.043,17.735
224.989,-271.3,3.205
219.25400000000002,-273.387,21.78
207.752,-276.814,8.891
205.452,-277.316,5.947
193.752,-280.23,37.316
164.26,-288.407,59.333
127.789,-298.543,54.248000000000005
99.85,-306.295,37.477
78.89,-312.10200000000003,29.594
70.30199999999999,-314.504,9.883
61.431999999999995,-317.073,21.065
49.449,-319.64099999999996,16.779
42.631,-317.107,7.367000000000001
40.0,-315.17,1.946
35.125,-311.805,5.343
33.736,-311.434,1.072
29.154,-312.0,19.174
19.662,-314.933,12.902000000000001
16.738,-315.93,6.644
12.118,-317.445,10.002
8.005,-318.686,12.943
-1.094,-321.134,19.271
-11.073,-320.865,20.406
-21.014,-315.402,20.409000000000002
-28.561999999999998,-301.845,20.447
-32.885,-287.441,16.608
-34.583,-281.401,5.444
-38.006,-268.119,32.764
-43.50899999999999,-245.109,21.04
-47.271,-230.582,20.804000000000002
-51.853,-215.90400000000002,20.8
-56.352,-201.291,20.586
-60.872,-186.668,20.840999999999998
-65.153,-172.801,20.699
-69.404,-159.037,20.843000000000004
-73.453,-145.389,20.979
-76.60600000000001,-132.39,20.945
-79.152,-118.82700000000001,20.919
-82.074,-105.838,20.903000000000002
-85.118,-93.65899999999999,20.361
-88.281,-81.98299999999999,19.939
-92.21700000000001,-71.255,20.008
-96.906,-61.117,20.416
-102.07,-51.927,20.691999999999997
-107.51299999999999,-43.617,20.939
-113.15100000000001,-35.318000000000005,20.973000000000003
-118.499,-27.326,20.961
-123.786,-19.373,20.96
-128.911,-11.779000000000002,20.912
-134.251,-4.202,20.265
-139.112,2.4219999999999997,19.793
-143.784,8.62,20.417
-148.60399999999998,15.276,21.313000000000002
-152.773,22.375,21.747
-156.594,30.201999999999998,21.611
-159.732,37.397,21.539
-162.634,44.281000000000006,21.62
-164.609,52.11600000000001,21.695
-164.43200000000002,60.398999999999994,21.903000000000002
-162.386,68.736,22.193
-158.096,75.92,21.91
-153.458,81.822,20.051
-151.241,87.024,11.879000000000001
-151.262,90.37200000000001,9.193
-151.247,91.994,3.455
-151.246,92.072,3.62
-151.246,92.072,3.62
-151.245,92.15700000000001,3.7319999999999998
-151.245,92.15700000000001,3.7319999999999998
-151.244,92.245,3.88
-151.244,92.245,3.88
-151.243,92.335,4.176
-151.243,92.335,4.176
-151.24200000000002,92.43299999999999,4.662
-151.24200000000002,92.43299999999999,4.662
-151.24,92.544,4.982
-151.24,92.544,4.982
-151.239,92.663,5.377000000000001
-151.239,92.663,5.377000000000001
-151.237,92.79,5.832999999999999
-151.237,92.79,5.832999999999999
-151.236,92.928,6.369
-151.236,92.928,6.369
-151.234,93.08,6.89
-151.234,93.08,6.89
-151.232,93.23700000000001,7.5489999999999995
-151.232,93.23700000000001,7.5489999999999995
-151.23,93.414,8.162
-151.23,93.414,8.162
-151.22799999999998,93.602,8.722000000000001
-151.22799999999998,93.602,8.722000000000001
-151.225,93.806,9.291
-151.225,93.806,9.291
-151.22299999999998,94.01899999999999,9.865
-151.22299999999998,94.01899999999999,9.865
-151.22,94.242,9.996
-151.22,94.242,9.996
-151.22799999999998,94.46600000000001,9.932
-151.22799999999998,94.46600000000001,9.932
-151.23,94.68299999999999,9.904
-151.23,94.68299999999999,9.904
-151.23,94.912,9.889
-151.23,94.912,9.889
-151.22899999999998,95.131,9.875
-151.22899999999998,95.131,9.875
-151.22899999999998,95.34899999999999,9.861
-151.22899999999998,95.34899999999999,9.861
-151.22799999999998,95.569,10.306
-151.22799999999998,95.569,10.306
-151.22799999999998,95.81200000000001,11.47
-151.22799999999998,95.81200000000001,11.47
-151.227,96.085,12.562000000000001
-151.227,96.085,12.562000000000001
-151.226,96.38,13.626
-151.226,96.38,13.626
-151.239,96.693,14.395
-151.239,96.693,14.395
-151.246,97.01700000000001,14.495
-151.246,97.01700000000001,14.495
-151.25,97.338,14.177999999999999
-151.25,97.338,14.177999999999999
-151.253,97.63,13.722999999999999
-151.253,97.63,13.722999999999999
-151.256,97.917,13.202
-151.256,97.917,13.202
-151.26,98.214,12.626
-151.26,98.214,12.626
-151.262,98.473,12.107999999999999
-151.262,98.473,12.107999999999999
-151.265,98.736,11.577
-151.265,98.736,11.577
-151.268,98.98,11.059000000000001
-151.268,98.98,11.059000000000001
-151.27,99.221,10.585999999999999
-151.27,99.221,10.585999999999999
-151.273,99.447,10.177
-151.273,99.447,10.177
-151.275,99.663,9.825
-151.275,99.663,9.825
-151.27700000000002,99.868,9.527000000000001
-151.27700000000002,99.868,9.527000000000001
-151.279,100.07700000000001,9.265
-151.279,100.07700000000001,9.265
-151.281,100.265,9.065
-151.281,100.265,9.065
-151.292,100.456,8.836
-151.292,100.456,8.836
-151.308,100.64200000000001,8.822000000000001
-151.308,100.64200000000001,8.822000000000001
-151.316,100.83200000000001,8.794
-151.316,100.83200000000001,8.794
-151.321,101.01899999999999,8.782
-151.321,101.01899999999999,8.782
-151.326,101.21,8.77
-151.326,101.21,8.77
-151.33100000000002,101.39399999999999,8.759
-151.33100000000002,101.39399999999999,8.759
-151.336,101.57600000000001,8.747
-151.336,101.57600000000001,8.747
-151.341,101.75399999999999,7.907
-151.341,101.75399999999999,7.907
-151.345,101.898,6.486000000000001
-151.345,101.898,6.486000000000001
-151.349,102.024,5.665
-151.349,102.024,5.665
-151.352,102.135,5.037
-151.352,102.135,5.037
-151.35399999999998,102.235,4.5280000000000005
-151.362,102.325,4.035
-151.362,102.325,4.035
